"Service","Condition","Tariff"
"Процентная ставка","на остаток до 300 000 руб. при сумме покупок от 3000 руб. за расчетный период и при подключенном сервисе Tinkoff Pro/Premium/Private","5% годовых"
"Процентная ставка","в прочих случаях","Не начисляется"
"Кэшбэк за покупки","на выбранные категории","До 15%"
"Кэшбэк за покупки","на предложения партнеров","До 30%"
"Пополнение","в банкоматах Тинькофф","Бесплатно"
"Пополнение","переводом с карты другого банка через Тинькофф","Бесплатно"
"Пополнение","переводом через систему быстрых платежей","Бесплатно"
"Пополнение","банковским переводом по реквизитам счета","Бесплатно"
"Пополнение","у партнеров Тинькофф до 150 000 руб. за расчетный период","Бесплатно"
"Пополнение","в прочих случаях","2%"
"Пополнение","в других банкоматах при использовании карты МИР","1%"
"Плата за обслуживание","при наличии на вкладах, накопительных счетах, картсчетах и брокерских счетах неснижаемого остатка не менее 50 000 руб. за расчетный период","Бесплатно"
"Плата за обслуживание","при наличии кредита, выданного на картсчет","Бесплатно"
"Плата за обслуживание","в прочих случаях","99 руб. в месяц"
"Плата за услугу «Оповещение об операциях»","с абонентским номером Тинькофф Мобайл","59 руб. в месяц"
"Плата за услугу «Оповещение об операциях»","в прочих случаях","99 руб. в месяц"
"Снятие наличных и квази-кэш","до 500 000 руб. за расчетный период в банкоматах Тинькофф","Бесплатно"
"Снятие наличных и квази-кэш","до 100 000 руб. за расчетный период: в других банкоматах при сумме операции от 3000 руб. и/или сторонних сервисах","Бесплатно"
"Снятие наличных и квази-кэш","в любых банкоматах и/или сторонних сервисах из средств, поступивших со вкладов с закончившимся сроком и кредитов, выданных на картсчет","Бесплатно"
"Снятие наличных и квази-кэш","в других случаях","1,5%, минимум 30 руб."
"Переводы через сервисы Тинькофф","внутрибанковский перевод","Бесплатно"
"Переводы через сервисы Тинькофф","в другой банк по реквизитам счета","Бесплатно"
"Переводы через сервисы Тинькофф","в другой банк по номеру телефона через систему быстрых платежей","2%, минимум 90 руб."
"Переводы через сервисы Тинькофф","в другой банк по номеру карты до 20 000 руб. за расчетный период","Бесплатно"
"Выпуск карт, в том числе дополнительных, перевыпуск и доставка","в прочих случаях","Бесплатно"
